id,year,state_abbr,race_id,population
417,2013,CO,3,141719
418,2013,CO,4,6549
419,2013,CO,5,175035
420,2014,CO,0,4364911
421,2014,CO,1,209062
422,2014,CO,2,49917
423,2014,CO,3,146561
424,2014,CO,4,6641
425,2014,CO,5,180206
426,2015,CO,0,4446095
427,2015,CO,1,213787
428,2015,CO,2,50008
429,2015,CO,3,153467
430,2015,CO,4,7695
431,2015,CO,5,183480
432,2016,CO,0,4517058
433,2016,CO,1,219349
434,2016,CO,2,50160
435,2016,CO,3,157523
436,2016,CO,4,7441
437,2016,CO,5,183735
438,2017,CO,0,4576201
439,2017,CO,1,221155
440,2017,CO,2,51406
441,2017,CO,3,164771
442,2017,CO,4,8580
443,2017,CO,5,188909
444,2018,CO,0,4655584
445,2018,CO,1,227938
446,2018,CO,2,54483
447,2018,CO,3,172695
448,2018,CO,4,8296
449,2018,CO,5,197328
450,2019,CO,0,4712574
451,2019,CO,1,233647
452,2019,CO,2,54847
453,2019,CO,3,178147
454,2019,CO,4,8643
455,2019,CO,5,205724
456,2020,CO,0,4634305
457,2020,CO,1,235692
458,2020,CO,2,53671
459,2020,CO,3,181733
460,2020,CO,4,8883
461,2020,CO,5,337229
462,2021,CO,0,4507448
463,2021,CO,1,234065
464,2021,CO,2,53143
465,2021,CO,3,183391
466,2021,CO,4,8192
467,2021,CO,5,478070
468,2009,CT,0,2792362
469,2009,CT,1,330186
470,2009,CT,2,8169
471,2009,CT,3,117515
472,2009,CT,4,1292
473,2009,CT,5,69630
474,2010,CT,0,2795926
475,2010,CT,1,342764
476,2010,CT,2,7959
477,2010,CT,3,129904
478,2010,CT,4,1332
479,2010,CT,5,78792
480,2011,CT,0,2796198
481,2011,CT,1,347941
482,2011,CT,2,8104
483,2011,CT,3,134108
484,2011,CT,4,1327
485,2011,CT,5,82104
486,2012,CT,0,2802217
487,2012,CT,1,355660
488,2012,CT,2,8531
489,2012,CT,3,138355
490,2012,CT,4,1472
491,2012,CT,5,87718
492,2013,CT,0,2792554
493,2013,CT,1,361668
494,2013,CT,2,8770
495,2013,CT,3,141709
496,2013,CT,4,1304
497,2013,CT,5,94111
498,2014,CT,0,2789105
499,2014,CT,1,365871
500,2014,CT,2,8036
501,2014,CT,3,145842
502,2014,CT,4,1105
503,2014,CT,5,98797
504,2015,CT,0,2778362
505,2015,CT,1,370501
506,2015,CT,2,8908
507,2015,CT,3,150670
508,2015,CT,4,981
509,2015,CT,5,101919
510,2016,CT,0,2768080
511,2016,CT,1,372696
512,2016,CT,2,9399
513,2016,CT,3,152782
514,2016,CT,4,1031
515,2016,CT,5,106988
516,2017,CT,0,2757064
517,2017,CT,1,376240
518,2017,CT,2,9385
519,2017,CT,3,156450
520,2017,CT,4,931
521,2017,CT,5,110654
522,2018,CT,0,2734880
523,2018,CT,1,378262
524,2018,CT,2,9698
525,2018,CT,3,158817
526,2018,CT,4,1173
527,2018,CT,5,113430
528,2019,CT,0,2714031
529,2019,CT,1,383416
530,2019,CT,2,9955
531,2019,CT,3,161257
532,2019,CT,4,1123
533,2019,CT,5,119000
534,2020,CT,0,2649994
535,2020,CT,1,382161
536,2020,CT,2,9079
537,2020,CT,3,163262
538,2020,CT,4,1189
539,2020,CT,5,172647
540,2021,CT,0,2595884
541,2021,CT,1,389290
542,2021,CT,2,8714
543,2021,CT,3,167308
544,2021,CT,4,1262
545,2021,CT,5,227267
546,2009,DC,0,210983
547,2009,DC,1,324631
548,2009,DC,2,1573
549,2009,DC,3,17439
550,2009,DC,4,426
551,2009,DC,5,9446
552,2010,DC,0,222375
553,2010,DC,1,309048
554,2010,DC,2,1625
555,2010,DC,3,20323
556,2010,DC,4,362
557,2010,DC,5,10646
558,2011,DC,0,231122
559,2011,DC,1,308516
560,2011,DC,2,1779
561,2011,DC,3,20773
562,2011,DC,4,311
563,2011,DC,5,11359
564,2012,DC,0,239413
565,2012,DC,1,309263
566,2012,DC,2,2143
567,2012,DC,3,21440
568,2012,DC,4,312
569,2012,DC,5,12536
570,2013,DC,0,248141
571,2013,DC,1,310530
572,2013,DC,2,1990
573,2013,DC,3,21845
574,2013,DC,4,233
575,2013,DC,5,14467
576,2014,DC,0,254955
577,2014,DC,1,314138
578,2014,DC,2,2072
579,2014,DC,3,22785
580,2014,DC,4,195
581,2014,DC,5,15592
582,2015,DC,0,260325
583,2015,DC,1,316447
584,2015,DC,2,2154
585,2015,DC,3,23822
586,2015,DC,4,250
587,2015,DC,5,17327
588,2016,DC,0,266035
589,2016,DC,1,318598
590,2016,DC,2,2174
591,2016,DC,3,24036
592,2016,DC,4,271
593,2016,DC,5,18245
594,2017,DC,0,273471
595,2017,DC,1,321062
596,2017,DC,2,1757
597,2017,DC,3,25558
598,2017,DC,4,289
599,2017,DC,5,19293
600,2018,DC,0,280469
601,2018,DC,1,321317
602,2018,DC,2,1993
603,2018,DC,3,26718
604,2018,DC,4,340
605,2018,DC,5,20143
606,2019,DC,0,285857
607,2019,DC,1,320811
608,2019,DC,2,2091
609,2019,DC,3,27592
610,2019,DC,4,376
611,2019,DC,5,21445
612,2020,DC,0,288306
