incident_id,incident_year,incident_date,jurisdiction_id,state_abbr,offender_race_id,offender_count,victim_count
141117,2009,2009-08-28,0,AZ,0,1,1
141118,2009,2009-09-05,0,AZ,6,0,1
141119,2009,2009-09-14,0,AZ,0,3,1
141120,2009,2009-09-19,0,AZ,6,0,1
141121,2009,2009-09-22,0,AZ,1,10,1
141122,2009,2009-09-26,0,AZ,0,1,1
141123,2009,2009-09-28,0,AZ,0,1,3
141124,2009,2009-10-02,0,AZ,0,1,2
141125,2009,2009-10-15,0,AZ,1,1,1
141126,2009,2009-10-25,0,AZ,0,1,4
141127,2009,2009-11-04,0,AZ,1,4,1
141128,2009,2009-11-05,0,AZ,6,0,1
141129,2009,2009-11-08,0,AZ,6,0,1
141130,2009,2009-11-13,0,AZ,0,2,1
141131,2009,2009-11-17,0,AZ,6,0,1
141132,2009,2009-11-28,0,AZ,6,0,1
141133,2009,2009-12-04,0,AZ,0,1,1
141134,2009,2009-12-29,0,AZ,0,1,1
141135,2009,2009-12-29,0,AZ,6,0,1
141136,2009,2009-03-21,0,AZ,0,1,3
141137,2009,2009-02-24,0,AZ,0,1,1
141138,2009,2009-04-28,0,AZ,6,0,1
141139,2009,2009-07-27,0,AZ,0,4,1
141140,2009,2009-08-07,0,AZ,3,1,1
141141,2009,2009-09-21,0,AZ,6,0,1
141142,2009,2009-10-31,0,AZ,0,1,1
141143,2009,2009-11-18,0,AZ,6,0,1
141144,2009,2009-11-30,0,AZ,0,1,1
141145,2009,2009-10-01,0,AZ,6,0,1
141146,2009,2009-01-09,0,AZ,2,1,1
141147,2009,2009-02-06,0,AZ,1,1,1
141148,2009,2009-02-20,0,AZ,2,3,1
141149,2009,2009-04-03,0,AZ,0,1,1
141150,2009,2009-04-12,0,AZ,5,3,1
141151,2009,2009-06-14,0,AZ,0,1,1
141152,2009,2009-12-12,0,AZ,0,2,1
141153,2009,2009-09-23,5,AZ,6,0,1
141154,2009,2009-11-29,0,AZ,0,4,1
137157,2009,2009-11-19,0,CA,6,1,1
137158,2009,2009-04-07,0,CA,0,1,1
137159,2009,2009-02-09,0,CA,1,1,1
137160,2009,2009-01-27,0,CA,0,1,2
137161,2009,2009-05-11,0,CA,1,1,1
137162,2009,2009-06-18,0,CA,1,1,1
137163,2009,2009-06-04,0,CA,6,0,1
137164,2009,2009-09-02,0,CA,0,1,1
137165,2009,2009-10-08,0,CA,1,3,1
137166,2009,2009-11-06,0,CA,0,1,1
137167,2009,2009-01-24,0,CA,1,1,1
